date,account_balance
2013-03-02,107176.96
2013-03-03,107176.96
2013-03-04,107176.96
2013-03-05,107176.96
2013-03-06,107176.96
2013-03-07,107176.96
2013-03-08,107176.96
2013-03-09,107176.96
2013-03-10,107176.96
2013-03-11,107176.96
2013-03-12,107176.96
2013-03-13,108288.23
2013-03-14,108288.23
2013-03-15,108288.23
2013-03-16,108288.23
2013-03-17,108288.23
2013-03-18,108288.23
2013-03-19,108288.23
2013-03-20,108288.23
2013-03-21,108288.23
2013-03-22,108288.23
2013-03-23,108288.23
2013-03-24,108288.23
2013-03-25,108288.23
2013-03-26,108288.23
2013-03-27,108288.23
2013-03-28,108288.23
2013-03-29,108288.23
2013-03-30,108288.23
2013-03-31,108288.23
2013-04-01,108288.23
2013-04-02,108288.23
2013-04-03,108288.23
2013-04-04,108288.23
2013-04-05,108288.23
2013-04-06,108288.23
2013-04-07,108288.23
2013-04-08,108288.23
2013-04-09,108288.23
2013-04-10,109886.68
2013-04-11,109886.68
2013-04-12,109886.68
2013-04-13,109886.68
2013-04-14,109886.68
2013-04-15,110323.83
2013-04-16,110323.83
2013-04-17,110323.83
2013-04-18,110323.83
2013-04-19,110323.83
2013-04-20,110323.83
2013-04-21,110323.83
2013-04-22,111046.18
2013-04-23,111046.18
2013-04-24,111046.18
2013-04-25,111046.18
2013-04-26,111046.18
2013-04-27,111046.18
2013-04-28,111046.18
2013-04-29,111046.18
2013-04-30,111046.18
2013-05-01,111046.18
2013-05-02,111046.18
2013-05-03,111046.18
2013-05-04,111046.18
2013-05-05,111046.18
2013-05-06,111046.18
2013-05-07,111046.18
2013-05-08,111046.18
2013-05-09,111046.18
2013-05-10,111046.18
2013-05-11,111046.18
2013-05-12,111046.18
2013-05-13,111046.18
2013-05-14,111046.18
2013-05-15,111046.18
2013-05-16,111046.18
2013-05-17,111046.18
2013-05-18,111046.18
2013-05-19,111046.18
2013-05-20,111046.18
2013-05-21,111046.18
2013-05-22,111046.18
2013-05-23,111046.18
2013-05-24,111046.18
2013-05-25,111046.18
2013-05-26,111046.18
2013-05-27,111046.18
2013-05-28,111046.18
2013-05-29,111046.18
2013-05-30,111046.18
2013-05-31,111046.18
2013-06-01,111046.18
2013-06-02,111046.18
2013-06-03,111046.18
2013-06-04,111046.18
2013-06-05,111046.18
2013-06-06,111046.18
2013-06-07,111046.18
2013-06-08,111046.18
2013-06-09,111046.18
2013-06-10,111046.18
2013-06-11,111046.18
2013-06-12,111046.18
2013-06-13,111046.18
2013-06-14,111046.18
2013-06-15,111046.18
2013-06-16,111046.18
2013-06-17,111046.18
2013-06-18,111046.18
2013-06-19,111046.18
2013-06-20,111046.18
2013-06-21,111046.18
2013-06-22,111046.18
2013-06-23,111046.18
2013-06-24,111046.18
2013-06-25,111046.18
2013-06-26,111046.18
2013-06-27,111046.18
2013-06-28,111046.18
2013-06-29,111046.18
2013-06-30,111046.18
2013-07-01,111046.18
2013-07-02,111046.18
2013-07-03,111046.18
2013-07-04,111046.18
2013-07-05,111046.18
2013-07-06,111046.18
2013-07-07,111046.18
2013-07-08,111046.18
2013-07-09,111046.18
2013-07-10,111046.18
2013-07-11,111046.18
2013-07-12,111046.18
2013-07-13,111046.18
2013-07-14,111046.18
2013-07-15,111046.18
2013-07-16,111046.18
2013-07-17,111046.18
2013-07-18,111046.18
2013-07-19,111046.18
2013-07-20,111046.18
2013-07-21,111046.18
2013-07-22,111046.18
2013-07-23,111046.18
2013-07-24,111046.18
2013-07-25,111046.18
2013-07-26,111046.18
2013-07-27,111046.18
2013-07-28,111046.18
2013-07-29,111046.18
2013-07-30,111046.18
2013-07-31,111046.18
2013-08-01,111353.79
2013-08-02,111353.79
2013-08-03,111353.79
2013-08-04,111353.79
2013-08-05,111353.79
2013-08-06,111353.79
2013-08-07,111353.79
2013-08-08,111353.79
2013-08-09,111353.79
2013-08-10,111353.79
2013-08-11,111353.79
2013-08-12,111353.79
2013-08-13,111353.79
2013-08-14,111353.79
2013-08-15,111353.79
2013-08-16,111353.79
2013-08-17,111353.79
2013-08-18,111353.79
2013-08-19,111353.79
2013-08-20,111353.79
2013-08-21,111353.79
2013-08-22,111353.79
2013-08-23,111353.79
2013-08-24,111353.79
2013-08-25,111353.79
2013-08-26,111353.79
2013-08-27,111353.79
2013-08-28,111353.79
2013-08-29,111353.79
2013-08-30,111353.79
2013-08-31,111353.79
2013-09-01,111353.79
2013-09-02,111353.79
2013-09-03,111353.79
2013-09-04,111353.79
2013-09-05,111353.79
2013-09-06,111353.79
2013-09-07,111353.79
2013-09-08,111353.79
2013-09-09,111353.79
2013-09-10,111353.79
2013-09-11,111353.79
2013-09-12,111353.79
2013-09-13,111353.79
2013-09-14,111353.79
2013-09-15,111353.79
2013-09-16,111353.79
2013-09-17,111353.79
2013-09-18,111353.79
2013-09-19,111353.79
2013-09-20,111353.79
2013-09-21,111353.79
2013-09-22,111353.79
2013-09-23,111353.79
2013-09-24,112290.09
2013-09-25,112290.09
2013-09-26,112290.09
2013-09-27,112290.09
2013-09-28,112290.09
2013-09-29,112290.09
2013-09-30,112290.09
2013-10-01,112290.09
2013-10-02,112290.09
2013-10-03,112290.09
2013-10-04,112290.09
2013-10-05,112290.09
2013-10-06,112290.09
2013-10-07,112290.09
2013-10-08,113398.51
2013-10-09,113398.51
2013-10-10,111546.67
2013-10-11,111546.67
2013-10-12,111546.67
2013-10-13,111546.67
2013-10-14,111546.67
2013-10-15,111546.67
2013-10-16,111546.67
2013-10-17,111546.67
2013-10-18,111546.67
2013-10-19,111546.67
2013-10-20,111546.67
2013-10-21,111546.67
2013-10-22,111546.67
2013-10-23,111546.67
2013-10-24,111546.67
2013-10-25,111546.67
2013-10-26,111546.67
2013-10-27,111546.67
2013-10-28,111546.67
2013-10-29,111546.67
2013-10-30,111546.67
2013-10-31,111546.67
2013-11-01,111546.67
2013-11-02,111546.67
2013-11-03,111546.67
2013-11-04,111546.67
2013-11-05,111546.67
2013-11-06,111546.67
