date,account_balance
2017-07-27,124300.89
2017-07-28,126129.05
2017-07-29,126129.05
2017-07-30,126129.05
2017-07-31,126129.05
2017-08-01,126129.05
2017-08-02,126129.05
2017-08-03,126129.05
2017-08-04,126129.05
2017-08-05,126129.05
2017-08-06,126129.05
2017-08-07,126129.05
2017-08-08,126129.05
2017-08-09,126129.05
2017-08-10,126129.05
2017-08-11,126129.05
2017-08-12,126129.05
2017-08-13,126129.05
2017-08-14,126129.05
2017-08-15,126129.05
2017-08-16,126129.05
2017-08-17,126129.05
2017-08-18,126129.05
2017-08-19,126129.05
2017-08-20,126129.05
2017-08-21,126129.05
2017-08-22,126129.05
2017-08-23,126129.05
2017-08-24,126129.05
2017-08-25,126129.05
2017-08-26,126129.05
2017-08-27,126129.05
2017-08-28,126129.05
2017-08-29,126129.05
2017-08-30,126129.05
2017-08-31,126129.05
2017-09-01,126129.05
2017-09-02,126129.05
2017-09-03,126129.05
2017-09-04,126129.05
2017-09-05,126129.05
2017-09-06,126129.05
2017-09-07,126129.05
2017-09-08,126129.05
2017-09-09,126129.05
2017-09-10,126129.05
2017-09-11,126129.05
2017-09-12,126129.05
2017-09-13,126129.05
2017-09-14,126129.05
2017-09-15,127976.78
2017-09-16,127976.78
2017-09-17,127976.78
2017-09-18,129857.2
2017-09-19,129857.2
2017-09-20,129857.2
2017-09-21,129857.2
2017-09-22,129857.2
2017-09-23,129857.2
2017-09-24,129857.2
2017-09-25,129857.2
2017-09-26,129857.2
2017-09-27,129857.2
2017-09-28,129857.2
2017-09-29,129857.2
2017-09-30,129857.2
2017-10-01,129857.2
2017-10-02,129857.2
2017-10-03,129857.2
2017-10-04,129857.2
2017-10-05,129857.2
2017-10-06,129857.2
2017-10-07,129857.2
2017-10-08,129857.2
2017-10-09,129857.2
2017-10-10,129857.2
2017-10-11,129857.2
2017-10-12,129857.2
2017-10-13,129857.2
2017-10-14,129857.2
2017-10-15,129857.2
2017-10-16,129857.2
2017-10-17,129857.2
2017-10-18,129857.2
2017-10-19,129857.2
2017-10-20,129857.2
2017-10-21,129857.2
2017-10-22,129857.2
2017-10-23,129857.2
2017-10-24,129857.2
2017-10-25,129857.2
2017-10-26,129857.2
2017-10-27,129857.2
2017-10-28,129857.2
2017-10-29,129857.2
2017-10-30,129857.2
2017-10-31,129857.2
2017-11-01,129857.2
2017-11-02,129857.2
2017-11-03,129857.2
2017-11-04,129857.2
2017-11-05,129857.2
2017-11-06,129857.2
2017-11-07,129857.2
2017-11-08,129857.2
2017-11-09,129857.2
2017-11-10,129857.2
2017-11-11,129857.2
2017-11-12,129857.2
2017-11-13,129857.2
2017-11-14,129857.2
2017-11-15,129857.2
2017-11-16,129857.2
2017-11-17,129857.2
2017-11-18,129857.2
2017-11-19,129857.2
2017-11-20,129857.2
2017-11-21,129857.2
2017-11-22,129857.2
2017-11-23,129857.2
2017-11-24,129857.2
2017-11-25,129857.2
2017-11-26,129857.2
2017-11-27,129857.2
2017-11-28,129857.2
2017-11-29,129857.2
2017-11-30,129857.2
2017-12-01,129857.2
2017-12-02,129857.2
2017-12-03,129857.2
2017-12-04,127670.42
2017-12-05,127670.42
2017-12-06,127670.42
2017-12-07,127670.42
2017-12-08,127670.42
2017-12-09,127670.42
2017-12-10,127670.42
2017-12-11,127670.42
2017-12-12,127670.42
2017-12-13,127670.42
2017-12-14,127670.42
2017-12-15,127670.42
2017-12-16,127670.42
2017-12-17,127670.42
2017-12-18,127670.42
2017-12-19,127670.42
2017-12-20,127670.42
2017-12-21,127670.42
2017-12-22,127670.42
2017-12-23,127670.42
2017-12-24,127670.42
2017-12-25,127670.42
2017-12-26,127670.42
2017-12-27,127670.42
2017-12-28,127670.42
2017-12-29,127670.42
2017-12-30,127670.42
2017-12-31,127670.42
2018-01-01,127670.42
2018-01-02,127670.42
2018-01-03,127670.42
2018-01-04,127670.42
2018-01-05,127670.42
2018-01-06,127670.42
2018-01-07,127670.42
2018-01-08,127670.42
2018-01-09,128215.33
2018-01-10,128139.91
2018-01-11,128139.91
2018-01-12,128139.91
2018-01-13,128139.91
2018-01-14,128139.91
2018-01-15,128139.91
2018-01-16,128139.91
2018-01-17,128139.91
2018-01-18,128139.91
2018-01-19,128139.91
2018-01-20,128139.91
2018-01-21,128139.91
2018-01-22,128139.91
2018-01-23,128139.91
2018-01-24,128139.91
2018-01-25,128139.91
2018-01-26,128139.91
2018-01-27,128139.91
2018-01-28,128139.91
2018-01-29,128139.91
2018-01-30,128139.91
2018-01-31,128139.91
2018-02-01,130091.76
2018-02-02,130091.76
2018-02-03,130091.76
2018-02-04,130091.76
2018-02-05,130091.76
2018-02-06,130091.76
2018-02-07,130091.76
2018-02-08,130091.76
2018-02-09,130091.76
2018-02-10,130091.76
2018-02-11,130091.76
2018-02-12,130091.76
2018-02-13,130091.76
2018-02-14,130091.76
2018-02-15,130091.76
2018-02-16,127925.37
2018-02-17,127925.37
2018-02-18,127925.37
2018-02-19,127925.37
2018-02-20,127925.37
2018-02-21,127925.37
2018-02-22,127925.37
2018-02-23,127925.37
2018-02-24,127925.37
2018-02-25,127925.37
2018-02-26,127925.37
2018-02-27,127925.37
2018-02-28,127925.37
2018-03-01,127925.37
2018-03-02,127925.37
2018-03-03,127925.37
